country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
SM,San Marino,San Marino,47890,San Marino,,,,,,,43.9333,12.45,4,san-marino
SM,San Marino,San Marino,47890,Casole,,,,,,,43.9267,12.4507,3,casole
SM,San Marino,San Marino,47890,Murata,,,,,,,43.9202,12.4515,4,murata
SM,San Marino,San Marino,47890,Santa Mustiola,,,,,,,43.9267,12.4507,3,santa-mustiola
SM,San Marino,San Marino,47891,Galazzano,,,,,,,43.9818,12.4953,3,galazzano
SM,San Marino,San Marino,47891,Falciano,,,,,,,43.9833,12.5,4,falciano
SM,San Marino,San Marino,47891,Rovereta,,,,,,,43.9818,12.4953,3,rovereta
SM,San Marino,San Marino,47891,Dogana,,,,,,,43.9803,12.4905,4,dogana
SM,San Marino,San Marino,47892,Acquaviva,,,,,,,43.95,12.4167,4,acquaviva
SM,San Marino,San Marino,47892,Gualdicciolo,,,,,,,43.9498,12.4073,4,gualdicciolo
SM,San Marino,San Marino,47893,Ventoso,,,,,,,43.9419,12.4474,3,ventoso
SM,San Marino,San Marino,47893,Valdragone,,,,,,,43.9419,12.4474,3,valdragone
SM,San Marino,San Marino,47893,San Giovanni,,,,,,,43.9419,12.4474,3,san-giovanni
SM,San Marino,San Marino,47893,Cailungo,,,,,,,43.9419,12.4474,3,cailungo
SM,San Marino,San Marino,47893,Ca' Rigo,,,,,,,43.9419,12.4474,3,ca-rigo
SM,San Marino,San Marino,47893,Borgo Maggiore,,,,,,,43.9419,12.4474,4,borgo-maggiore
SM,San Marino,San Marino,47894,Chiesanuova,,,,,,,43.9167,12.4167,4,chiesanuova
SM,San Marino,San Marino,47894,Teglio,,,,,,,43.9167,12.4167,3,teglio
SM,San Marino,San Marino,47895,Domagnano,,,,,,,43.9528,12.4701,4,domagnano
SM,San Marino,San Marino,47895,Torraccia,,,,,,,43.9528,12.4701,3,torraccia
SM,San Marino,San Marino,47896,Faetano,,,,,,,43.9333,12.5,4,faetano
SM,San Marino,San Marino,47897,Fiorentino,,,,,,,43.9,12.45,4,fiorentino
SM,San Marino,San Marino,47898,Montegiardino,,,,,,,43.9,12.5,4,montegiardino
SM,San Marino,San Marino,47898,Cerbaiola,,,,,,,43.9,12.5,3,cerbaiola
SM,San Marino,San Marino,47899,Serravalle,,,,,,,43.95,12.5,4,serravalle
SM,San Marino,San Marino,47899,Fiorina,,,,,,,43.958,12.4769,4,fiorina
