country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
TH,Thailand,Tailandia,10100,Pom Prap Sattru Phai,Bangkok,10,,,,,13.7333,100.5,,pom-prap-sattru-phai
TH,Thailand,Tailandia,10100,Samphanthawong,Bangkok,10,,,,,13.7333,100.5,4,samphanthawong
TH,Thailand,Tailandia,10110,Wattana,Bangkok,10,,,,,13.7083,100.4562,,wattana
TH,Thailand,Tailandia,10120,Bang Kholame,Bangkok,10,,,,,13.7083,100.4562,,bang-kholame
TH,Thailand,Tailandia,10120,Yannawa,Bangkok,10,,,,,13.7083,100.4562,,yannawa
TH,Thailand,Tailandia,10140,Thung Khru,Bangkok,10,,,,,13.6833,100.5,,thung-khru
TH,Thailand,Tailandia,10140,Rat Burana,Bangkok,10,,,,,13.6833,100.5,4,rat-burana
TH,Thailand,Tailandia,10150,Bang Khun Thian,Bangkok,10,,,,,13.7,100.4667,4,bang-khun-thian
TH,Thailand,Tailandia,10150,Bang Bon,Bangkok,10,,,,,13.7,100.4667,,bang-bon
TH,Thailand,Tailandia,10160,Bang Khae,Bangkok,10,,,,,13.7167,100.4167,4,bang-khae
TH,Thailand,Tailandia,10160,Nong Khaem,Bangkok,10,,,,,13.6833,100.35,4,nong-khaem
TH,Thailand,Tailandia,10160,Phasi Charoen,Bangkok,10,,,,,13.7167,100.4333,4,phasi-charoen
TH,Thailand,Tailandia,10170,Thawi Wattana,Bangkok,10,,,,,13.7667,100.45,,thawi-wattana
TH,Thailand,Tailandia,10170,Taling Chan,Bangkok,10,,,,,13.7667,100.45,4,taling-chan
TH,Thailand,Tailandia,10200,Phra Nakhon,Bangkok,10,,,,,13.75,100.5167,4,phra-nakhon
TH,Thailand,Tailandia,10210,Lak Si,Bangkok,10,,,,,14.1833,100.2833,4,lak-si
TH,Thailand,Tailandia,10220,Bang Khen,Bangkok,10,,,,,13.8667,100.6,4,bang-khen
TH,Thailand,Tailandia,10220,Sai Mai,Bangkok,10,,,,,13.8667,100.6,,sai-mai
TH,Thailand,Tailandia,10230,Lat Phrao,Bangkok,10,,,,,14.3333,99.9167,4,lat-phrao
TH,Thailand,Tailandia,10230,Khanna Yao,Bangkok,10,,,,,14.3333,99.9167,,khanna-yao
TH,Thailand,Tailandia,10240,Bang Kapi,Bangkok,10,,,,,13.7667,100.65,4,bang-kapi
TH,Thailand,Tailandia,10240,Saphan Sung B39,Bangkok,10,,,,,13.7667,100.65,,saphan-sung-b39
TH,Thailand,Tailandia,10240,Bung Kum,Bangkok,10,,,,,13.7667,100.65,,bung-kum
TH,Thailand,Tailandia,10250,Pra Vet,Bangkok,10,,,,,13.8583,100.4688,,pra-vet
TH,Thailand,Tailandia,10250,Suang Luang,Bangkok,10,,,,,13.8583,100.4688,,suang-luang
TH,Thailand,Tailandia,10260,Phra Khanong,Bangkok,10,,,,,13.7,100.6,4,phra-khanong
TH,Thailand,Tailandia,10260,Bang Na,Bangkok,10,,,,,13.6667,100.5833,4,bang-na
TH,Thailand,Tailandia,10300,Dusit,Bangkok,10,,,,,13.7833,100.5167,4,dusit
TH,Thailand,Tailandia,10310,Wangthong Lang,Bangkok,10,,,,,13.7833,100.5167,,wangthong-lang
TH,Thailand,Tailandia,10320,Huai Khwang,Bangkok,10,,,,,13.7833,100.5167,,huai-khwang
TH,Thailand,Tailandia,10330,Pahtum Wan,Bangkok,10,,,,,13.7833,100.5167,,pahtum-wan
TH,Thailand,Tailandia,10400,Ding Daeng,Bangkok,10,,,,,13.7625,100.531,,ding-daeng
TH,Thailand,Tailandia,10400,Phaya Thai,Bangkok,10,,,,,13.7625,100.531,,phaya-thai
TH,Thailand,Tailandia,10500,Bang Rak,Bangkok,10,,,,,13.7333,100.5333,4,bang-rak
TH,Thailand,Tailandia,10510,Khlong Samwa,Bangkok,10,,,,,13.8167,100.75,,khlong-samwa
TH,Thailand,Tailandia,10510,Min Buri,Bangkok,10,,,,,13.8167,100.75,4,min-buri
TH,Thailand,Tailandia,10520,Lat Krabang,Bangkok,10,,,,,13.7167,100.7833,4,lat-krabang
TH,Thailand,Tailandia,10530,Nong Chok,Bangkok,10,,,,,13.85,100.8667,4,nong-chok
TH,Thailand,Tailandia,10600,Thon Buri,Bangkok,10,,,,,13.7167,100.4833,4,thon-buri
TH,Thailand,Tailandia,10600,Khlong San,Bangkok,10,,,,,13.7333,100.5,4,khlong-san
TH,Thailand,Tailandia,10600,Bangkok Yai,Bangkok,10,,,,,13.7333,100.4833,4,bangkok-yai
TH,Thailand,Tailandia,10700,Bang Plat,Bangkok,10,,,,,13.75,100.4833,,bang-plat
TH,Thailand,Tailandia,10700,Bangkok Noi,Bangkok,10,,,,,13.75,100.4833,4,bangkok-noi
TH,Thailand,Tailandia,10800,Bang Su,Bangkok,10,,,,,13.8,100.5333,4,bang-su
TH,Thailand,Tailandia,10130,Phra Pradaeng,Samut Prakan,11,,,,,13.6667,100.5333,4,phra-pradaeng
TH,Thailand,Tailandia,10270,Muang Samut Prakan,Samut Prakan,11,,,,,13.6,100.6,4,muang-samut-prakan
TH,Thailand,Tailandia,10290,Phra Samut Chedi,Samut Prakan,11,,,,,13.8583,100.4688,,phra-samut-chedi
TH,Thailand,Tailandia,10540,Bang Phli,Samut Prakan,11,,,,,13.6,100.7167,4,bang-phli
TH,Thailand,Tailandia,10540,Bang Saotong,Samut Prakan,11,,,,,13.6,100.7167,,bang-saotong
TH,Thailand,Tailandia,10560,Bang Bo,Samut Prakan,11,,,,,13.5833,100.8167,4,bang-bo
TH,Thailand,Tailandia,11000,Muang Nonthaburi,Nonthaburi,12,,,,,13.89,100.4333,,muang-nonthaburi
TH,Thailand,Tailandia,11110,Bang Bua Thong,Nonthaburi,12,,,,,13.9167,100.4333,4,bang-bua-thong
TH,Thailand,Tailandia,11120,Pak Kret,Nonthaburi,12,,,,,13.9167,100.5,4,pak-kret
TH,Thailand,Tailandia,11130,Bang Kruai,Nonthaburi,12,,,,,13.8,100.4833,4,bang-kruai
TH,Thailand,Tailandia,11140,Bang Yai,Nonthaburi,12,,,,,13.85,100.4333,4,bang-yai
TH,Thailand,Tailandia,11150,Sai Noi,Nonthaburi,12,,,,,13.9667,100.3167,4,sai-noi
TH,Thailand,Tailandia,12000,Muang Pathum Thani,Pathum Thani,13,,,,,14.0433,100.64,,muang-pathum-thani
TH,Thailand,Tailandia,12110,Thanyaburi,Pathum Thani,13,,,,,14.0433,100.64,,thanyaburi
TH,Thailand,Tailandia,12120,Khlong Luang,Pathum Thani,13,,,,,14.0667,100.65,4,khlong-luang
TH,Thailand,Tailandia,12140,Lat Lum Kaeo,Pathum Thani,13,,,,,14.0333,100.4167,4,lat-lum-kaeo
TH,Thailand,Tailandia,12150,Lam Luk Ka,Pathum Thani,13,,,,,13.9333,100.75,4,lam-luk-ka
TH,Thailand,Tailandia,12160,Sam Khok,Pathum Thani,13,,,,,14.05,100.55,4,sam-khok
TH,Thailand,Tailandia,12170,Nong Sua,Pathum Thani,13,,,,,14.1333,100.8333,4,nong-sua
TH,Thailand,Tailandia,13000,Pharnakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14,,,,,14.3738,100.5631,,pharnakhon-si-ayutthaya
TH,Thailand,Tailandia,13110,Sena,Phra Nakhon Si Ayutthaya,14,,,,,14.3167,100.4,4,sena
TH,Thailand,Tailandia,13120,Pak Hai,Phra Nakhon Si Ayutthaya,14,,,,,14.3619,100.6,,pak-hai
TH,Thailand,Tailandia,13130,Tha Rua,Phra Nakhon Si Ayutthaya,14,,,,,14.5667,100.7333,4,tha-rua
TH,Thailand,Tailandia,13140,Phachi,Phra Nakhon Si Ayutthaya,14,,,,,14.45,100.7167,4,phachi
TH,Thailand,Tailandia,13150,Maha Rat,Phra Nakhon Si Ayutthaya,14,,,,,14.5333,100.5333,4,maha-rat
TH,Thailand,Tailandia,13160,Bang Pa-In,Phra Nakhon Si Ayutthaya,14,,,,,14.2333,100.5833,4,bang-pa-in
TH,Thailand,Tailandia,13170,Wang Noi,Phra Nakhon Si Ayutthaya,14,,,,,14.2167,100.7333,4,wang-noi
TH,Thailand,Tailandia,13190,Bang Sai,Phra Nakhon Si Ayutthaya,14,,,,,14.2167,100.5,4,bang-sai
TH,Thailand,Tailandia,13210,Uthai,Phra Nakhon Si Ayutthaya,14,,,,,14.3667,100.6667,4,uthai
TH,Thailand,Tailandia,13220,Bang Pahan,Phra Nakhon Si Ayutthaya,14,,,,,14.45,100.55,4,bang-pahan
TH,Thailand,Tailandia,13230,Lat Bua Luang,Phra Nakhon Si Ayutthaya,14,,,,,14.1667,100.3167,4,lat-bua-luang
TH,Thailand,Tailandia,13240,Ban Phraek,Phra Nakhon Si Ayutthaya,14,,,,,14.6333,100.5667,4,ban-phraek
TH,Thailand,Tailandia,13250,Bang Ban,Phra Nakhon Si Ayutthaya,14,,,,,14.4167,100.4667,4,bang-ban
TH,Thailand,Tailandia,13260,Nakhon Luang,Phra Nakhon Si Ayutthaya,14,,,,,14.45,100.6167,4,nakhon-luang
TH,Thailand,Tailandia,13270,Bang Sai,Phra Nakhon Si Ayutthaya,14,,,,,14.2167,100.5,4,bang-sai
TH,Thailand,Tailandia,14000,Muang ANG THONG,Ang Thong,15,,,,,14.5833,100.45,4,muang-ang-thong
TH,Thailand,Tailandia,14110,Wiset Chai Chan,Ang Thong,15,,,,,14.5833,100.35,4,wiset-chai-chan
TH,Thailand,Tailandia,14120,Pho Thong,Ang Thong,15,,,,,14.6667,100.4167,4,pho-thong
TH,Thailand,Tailandia,14130,Pa Mok,Ang Thong,15,,,,,14.4833,100.45,4,pa-mok
TH,Thailand,Tailandia,14140,Chaiyo,Ang Thong,15,,,,,14.65,100.4667,4,chaiyo
TH,Thailand,Tailandia,14150,Sawaengha,Ang Thong,15,,,,,14.5958,100.4208,,sawaengha
TH,Thailand,Tailandia,14160,Samko,Ang Thong,15,,,,,14.5958,100.4208,,samko
TH,Thailand,Tailandia,15000,Muang Lopburi,Lopburi,16,,,,,14.8,100.6167,4,muang-lopburi
TH,Thailand,Tailandia,15110,Ban Mi,Lopburi,16,,,,,15.0436,100.5661,4,ban-mi
TH,Thailand,Tailandia,15120,Khok Samrong,Lopburi,16,,,,,15.0644,100.7228,4,khok-samrong
TH,Thailand,Tailandia,15130,Tha Luang,Lopburi,16,,,,,14.9833,101.0167,4,tha-luang
TH,Thailand,Tailandia,15130,Chai Badan,Lopburi,16,,,,,15.2,101.1333,4,chai-badan
TH,Thailand,Tailandia,15140,Phattana Nikhom,Lopburi,16,,,,,15.0216,100.7911,,phattana-nikhom
TH,Thailand,Tailandia,15150,Tha Wung,Lopburi,16,,,,,14.8167,100.5167,4,tha-wung
TH,Thailand,Tailandia,15170,Nong Muang,Lopburi,16,,,,,15.0216,100.7911,,nong-muang
TH,Thailand,Tailandia,15190,Lum Sunthi,Lopburi,16,,,,,15.0216,100.7911,,lum-sunthi
TH,Thailand,Tailandia,15240,Sa Bot,Lopburi,16,,,,,15.35,100.8167,,sa-bot
TH,Thailand,Tailandia,15250,Khok Charoen,Lopburi,16,,,,,15.35,100.8167,4,khok-charoen
TH,Thailand,Tailandia,16000,Muang Sing Buri,Sing Buri,17,,,,,14.8708,100.375,,muang-sing-buri
TH,Thailand,Tailandia,16110,In Buri,Sing Buri,17,,,,,15,100.3333,4,in-buri
TH,Thailand,Tailandia,16120,Phrom Buri,Sing Buri,17,,,,,14.8333,100.45,4,phrom-buri
TH,Thailand,Tailandia,16130,Bang Rachan,Sing Buri,17,,,,,14.8833,100.3167,4,bang-rachan
TH,Thailand,Tailandia,16140,Tha Chang,Sing Buri,17,,,,,14.7667,100.4,4,tha-chang
TH,Thailand,Tailandia,16150,Khai Bang Rachan,Sing Buri,17,,,,,14.8708,100.375,,khai-bang-rachan
TH,Thailand,Tailandia,17000,Muang Chainat,Chai Nat,18,,,,,15.1833,100.1333,4,muang-chainat
TH,Thailand,Tailandia,17100,Nong Mamong,Chai Nat,18,,,,,15.2775,99.8769,4,nong-mamong
TH,Thailand,Tailandia,17110,Manorom,Chai Nat,18,,,,,15.3167,100.0833,4,manorom
TH,Thailand,Tailandia,17120,Wat Sing,Chai Nat,18,,,,,15.2667,100.05,4,wat-sing
TH,Thailand,Tailandia,17130,Non Kham,Chai Nat,18,,,,,14.9833,100.0167,,non-kham
TH,Thailand,Tailandia,17130,Hankha,Chai Nat,18,,,,,14.9833,100.0167,4,hankha
TH,Thailand,Tailandia,17140,Sankhaburi,Chai Nat,18,,,,,15.05,100.1667,4,sankhaburi
TH,Thailand,Tailandia,17150,Sanphaya,Chai Nat,18,,,,,15.1333,100.25,4,sanphaya
TH,Thailand,Tailandia,18000,Muang Saraburi,Saraburi,19,,,,,14.5521,100.9003,,muang-saraburi
TH,Thailand,Tailandia,18000,Chaloem Phakiat,Saraburi,19,,,,,14.5521,100.9003,,chaloem-phakiat
TH,Thailand,Tailandia,18110,Kaeng Khoi,Saraburi,19,,,,,14.5881,101.0031,4,kaeng-khoi
TH,Thailand,Tailandia,18120,Phra Phutthabat,Saraburi,19,,,,,14.7167,100.8,4,phra-phutthabat
TH,Thailand,Tailandia,18130,Ban Mo,Saraburi,19,,,,,14.6167,100.7333,4,ban-mo
TH,Thailand,Tailandia,18140,Nong Khae,Saraburi,19,,,,,14.3333,100.8667,4,nong-khae
TH,Thailand,Tailandia,18150,Wihan Daeng,Saraburi,19,,,,,14.35,101,4,wihan-daeng
TH,Thailand,Tailandia,18160,Sao Hai,Saraburi,19,,,,,14.55,100.85,4,sao-hai
TH,Thailand,Tailandia,18170,Nong Saeng,Saraburi,19,,,,,14.4833,100.7833,4,nong-saeng
TH,Thailand,Tailandia,18180,Muak Lek,Saraburi,19,,,,,14.5833,101.2167,4,muak-lek
TH,Thailand,Tailandia,18190,Nong Doan,Saraburi,19,,,,,14.5277,100.9066,,nong-doan
TH,Thailand,Tailandia,18210,Don Phut,Saraburi,19,,,,,14.5833,100.6667,4,don-phut
TH,Thailand,Tailandia,18220,Wang Muang,Saraburi,19,,,,,14.7167,101.0833,4,wang-muang
TH,Thailand,Tailandia,20000,Muang Chonburi,Chon Buri,20,,,,,13.1604,101.1083,,muang-chonburi
TH,Thailand,Tailandia,20110,Si Racha,Chon Buri,20,,,,,13.1667,100.9333,4,si-racha
TH,Thailand,Tailandia,20120,Ko Sichang,Chon Buri,20,,,,,13.1452,101.0619,,ko-sichang
TH,Thailand,Tailandia,20140,Phanat Nikhom,Chon Buri,20,,,,,13.45,101.1833,4,phanat-nikhom
TH,Thailand,Tailandia,20150,Bang Lamung,Chon Buri,20,,,,,13.05,100.9333,4,bang-lamung
TH,Thailand,Tailandia,20160,Phan Thong,Chon Buri,20,,,,,13.4667,101.1,4,phan-thong
TH,Thailand,Tailandia,20170,Ban Bung,Chon Buri,20,,,,,13.0667,101,4,ban-bung
TH,Thailand,Tailandia,20180,Sattahip,Chon Buri,20,,,,,12.6667,100.9,4,sattahip
TH,Thailand,Tailandia,20190,Nong Yai,Chon Buri,20,,,,,13.15,101.3833,4,nong-yai
TH,Thailand,Tailandia,20240,Ko Chan,Chon Buri,20,,,,,13.2667,101.4333,,ko-chan
TH,Thailand,Tailandia,20270,Bo Thong,Chon Buri,20,,,,,13.2667,101.4333,4,bo-thong
