country_code,country_name,country_name_es,postal_code,place,admin1,admin1_code,admin2,admin2_code,admin3,admin3_code,latitude,longitude,accuracy,slug
UY,Uruguay,Uruguay,40200,Limite Contestado,Artigas,01,,,,,-31.0812,-56.0045,3,limite-contestado
UY,Uruguay,Uruguay,50200,Sarandi De Yacuy,Artigas,01,,,,,-30.741,-57.6296,4,sarandi-de-yacuy
UY,Uruguay,Uruguay,55000,La Bolsa,Artigas,01,,,,,-30.8509,-56.3398,4,la-bolsa
UY,Uruguay,Uruguay,55000,Piedra Pintada,Artigas,01,,,,,-30.5242,-56.3527,4,piedra-pintada
UY,Uruguay,Uruguay,55000,Fagundez,Artigas,01,,,,,-30.6989,-56.5847,4,fagundez
UY,Uruguay,Uruguay,55000,Chiflero,Artigas,01,,,,,-30.5878,-56.7362,3,chiflero
UY,Uruguay,Uruguay,55000,Cerro San Eugenio,Artigas,01,,,,,-30.5878,-56.7362,3,cerro-san-eugenio
UY,Uruguay,Uruguay,55000,Paso Farias,Artigas,01,,,,,-30.5878,-56.7362,3,paso-farias
UY,Uruguay,Uruguay,55000,Pintadito,Artigas,01,,,,,-30.4322,-56.4568,4,pintadito
UY,Uruguay,Uruguay,55000,Zanja Aruera,Artigas,01,,,,,-30.5878,-56.7362,3,zanja-aruera
UY,Uruguay,Uruguay,55000,Artigas,Artigas,01,,,,,-30.4,-56.4667,4,artigas
UY,Uruguay,Uruguay,55000,Catalan Volcan,Artigas,01,,,,,-30.5878,-56.7362,3,catalan-volcan
UY,Uruguay,Uruguay,55000,Pintado Grande,Artigas,01,,,,,-30.5158,-56.423,4,pintado-grande
UY,Uruguay,Uruguay,55000,Sequeira,Artigas,01,,,,,-30.9892,-56.8704,4,sequeira
UY,Uruguay,Uruguay,55000,Paguero,Artigas,01,,,,,-30.6374,-56.7686,4,paguero
UY,Uruguay,Uruguay,55000,Palma Sola,Artigas,01,,,,,-30.6833,-57.5167,4,palma-sola
