country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,01,Adrar,province,provincia,Adrar,27.87429,-0.29388
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,01,Adrar,province,provincia,Aoulef,26.96667,1.08333
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,01,Adrar,province,provincia,Reggane,26.71576,0.1714
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,01,Adrar,province,provincia,Timimoun,29.26388,0.23098
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,44,Aïn Defla,province,provincia,Aïn Defla,36.26405,1.9679
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,44,Aïn Defla,province,provincia,El Abadia,36.26951,1.68609
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,44,Aïn Defla,province,provincia,El Attaf,36.22393,1.67187
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,44,Aïn Defla,province,provincia,Khemis Miliana,36.26104,2.22015
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,44,Aïn Defla,province,provincia,Theniet el Had,35.87111,2.02806
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,46,Aïn Témouchent,province,provincia,Aïn Temouchent,35.29749,-1.14037
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,46,Aïn Témouchent,province,provincia,Beni Saf,35.30099,-1.38226
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,46,Aïn Témouchent,province,provincia,El Amria,35.52439,-1.01577
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,46,Aïn Témouchent,province,provincia,El Malah,35.39137,-1.09238
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,46,Aïn Témouchent,province,provincia,Hammam Bou Hadjar,35.37889,-0.96778
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Aïn Taya,36.79333,3.28694
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Algiers,36.73225,3.08746
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Bab Ezzouar,36.72615,3.18291
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Birkhadem,36.71499,3.05002
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Bordj el Kiffan,36.74871,3.19249
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Dar el Beïda,36.71333,3.2125
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,16,Algiers,province,provincia,Rouiba,36.73829,3.28079
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,23,Annaba,province,provincia,Annaba,36.9,7.76667
DZ,Algeria,Argelia,Africa,África,Northern Africa,África del Norte,23,Annaba,province,provincia,Berrahal,36.83528,7.45333
