country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,01,Agana Heights,village,aldea,Agana Heights Village,13.46559,144.74795
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,02,Asan-Maina,village,aldea,Asan-Maina Village,13.47215,144.71654
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,03,Barrigada,village,aldea,Barrigada Village,13.46913,144.79901
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,04,Chalan Pago-Ordot,village,aldea,Chalan Pago-Ordot Village,13.44741,144.75902
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,05,Dededo,village,aldea,Dededo Village,13.51777,144.8391
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,06,Hågat,village,aldea,Agat Village,13.383,144.66003
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,12,Hagåtña,village,aldea,Hagåtña,13.47567,144.74886
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,12,Hagåtña,village,aldea,Hagåtña Village,13.47279,144.75802
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,08,Inarajan (Inalåhan),village,aldea,Inarajan Village,13.27363,144.74845
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,10,Mangilao,village,aldea,Adacao,13.49242,144.8447
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,10,Mangilao,village,aldea,Mangilao Village,13.44761,144.80109
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,09,Merizo (Malesso),village,aldea,Merizo Village,13.26584,144.66908
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,11,Mongmong-Toto-Maite,village,aldea,Mongmong-Toto-Maite Village,13.46857,144.78214
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,13,Piti,village,aldea,Piti Village,13.46256,144.69331
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,14,Santa Rita (Sånta Rita-Sumai),village,aldea,Apra Harbor,13.42827,144.65252
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,14,Santa Rita (Sånta Rita-Sumai),village,aldea,Santa Rita Village,13.38608,144.67226
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,15,Sinajana,village,aldea,Sinajana Village,13.46334,144.75406
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,16,Talofofo (Talo'fo'fo),village,aldea,Talofofo Village,13.35513,144.75835
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,17,Tamuning,village,aldea,Apotgan,13.48817,144.77644
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,17,Tamuning,village,aldea,Tamuning,13.48754,144.78143
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,17,Tamuning,village,aldea,Tamuning-Tumon-Harmon Village,13.48773,144.78138
GU,Guam,Guam,Oceania,Oceanía,Micronesia,Micronesia,07,Umatac (Humåtak),village,aldea,,,
