country_iso2,country_name,country_name_es,region,region_es,subregion,subregion_es,state_code,state_name,state_type,state_type_es,city_name,latitude,longitude
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Gobojango,-21.8327,28.72882
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Gweta,-20.18333,25.23333
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Kalamare,-22.93369,26.57032
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Letlhakane,-21.41494,25.59263
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Letsheng,-22.66384,27.2239
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Maapi,-22.75785,27.35001
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Machaneng,-23.18621,27.48856
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mahalapye,-23.10407,26.81421
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Makobeng,-22.99637,27.66766
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Makwata,-23.28333,27.3
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mathakola,-22.72125,27.31057
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mathambgwane,-20.99075,27.33158
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mathathane,-22.26875,28.74946
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Maunatlala,-22.59701,27.63006
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mogapi,-22.32301,27.83492
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Moijabana,-22.43333,26.41667
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mookane,-23.68805,26.65948
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mopipi,-21.18333,24.88333
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Mosetse,-20.75,26.65
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Nata,-20.21667,26.18333
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Orapa,-21.3115,25.37642
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Palapye,-22.54605,27.12507
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Pilikwe,-22.79904,27.19376
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Rakops,-21.02257,24.36052
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Ramokgonami,-22.8645,27.42391
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Ratholo,-22.72454,27.57199
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Sefophe,-22.18333,27.96667
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Serowe,-22.38754,26.71077
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Sua,-20.05,26.2
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Tamasane,-22.4184,27.40127
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Tobane,-21.95,27.9
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CE,Central,district,distrito,Tonota,-21.44236,27.46153
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,CH,Chobe,district,distrito,,,
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,FR,Francistown,city,ciudad,,,
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,GA,Gaborone,city,ciudad,,,
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,GH,Ghanzi,district,distrito,Dekar,-21.53333,21.93333
BW,Botswana,Botswana,Africa,África,Southern Africa,África Austral,GH,Ghanzi,district,distrito,Ghanzi,-21.69785,21.64581
