country_iso2,country_name,region,subregion,state_code,state_name,city_name,latitude,longitude
AF,Afghanistan,Asia,Southern Asia,BDS,Badakhshan,Ashkāsham,36.68333,71.53333
AF,Afghanistan,Asia,Southern Asia,BDS,Badakhshan,Fayzabad,37.11664,70.58002
AF,Afghanistan,Asia,Southern Asia,BDS,Badakhshan,Jurm,36.86477,70.83421
AF,Afghanistan,Asia,Southern Asia,BDS,Badakhshan,Khandūd,36.95127,72.318
AF,Afghanistan,Asia,Southern Asia,BDS,Badakhshan,Rāghistān,37.66079,70.67346
AF,Afghanistan,Asia,Southern Asia,BDS,Badakhshan,Wākhān,37.0571,73.34928
AF,Afghanistan,Asia,Southern Asia,BDG,Badghis,Ghormach,35.73062,63.78264
AF,Afghanistan,Asia,Southern Asia,BDG,Badghis,Qala i Naw,34.98735,63.12891
AF,Afghanistan,Asia,Southern Asia,BGL,Baghlan,Baghlān,36.13068,68.70829
AF,Afghanistan,Asia,Southern Asia,BGL,Baghlan,Ḩukūmatī Dahanah-ye Ghōrī,35.90617,68.48869
AF,Afghanistan,Asia,Southern Asia,BGL,Baghlan,Nahrīn,36.0649,69.13343
AF,Afghanistan,Asia,Southern Asia,BGL,Baghlan,Pul-e Khumrī,35.94458,68.71512
AF,Afghanistan,Asia,Southern Asia,BAL,Balkh,Balkh,36.75635,66.8972
AF,Afghanistan,Asia,Southern Asia,BAL,Balkh,Dowlatābād,36.98821,66.82069
AF,Afghanistan,Asia,Southern Asia,BAL,Balkh,Khulm,36.69736,67.69826
AF,Afghanistan,Asia,Southern Asia,BAL,Balkh,Lab-Sar,36.02634,66.83799
AF,Afghanistan,Asia,Southern Asia,BAL,Balkh,Mazār-e Sharīf,36.70904,67.11087
AF,Afghanistan,Asia,Southern Asia,BAL,Balkh,Qarchī Gak,37.03999,66.78891
AF,Afghanistan,Asia,Southern Asia,BAM,Bamyan,Bāmyān,34.82156,67.82734
AF,Afghanistan,Asia,Southern Asia,BAM,Bamyan,Panjāb,34.38795,67.02327
AF,Afghanistan,Asia,Southern Asia,DAY,Daykundi,Nīlī,33.76329,66.07617
AF,Afghanistan,Asia,Southern Asia,FRA,Farah,Farah,32.37451,62.11638
AF,Afghanistan,Asia,Southern Asia,FYB,Faryab,Andkhoy,36.95293,65.12376
AF,Afghanistan,Asia,Southern Asia,FYB,Faryab,Maymana,35.92139,64.78361
AF,Afghanistan,Asia,Southern Asia,GHA,Ghazni,Ghazni,33.55391,68.42096
AF,Afghanistan,Asia,Southern Asia,GHO,Ghōr,Fayrōz Kōh,34.51952,65.25093
AF,Afghanistan,Asia,Southern Asia,GHO,Ghōr,Shahrak,34.10737,64.3052
AF,Afghanistan,Asia,Southern Asia,HEL,Helmand,‘Alāqahdārī Dīshū,30.43206,63.29802
AF,Afghanistan,Asia,Southern Asia,HEL,Helmand,Gereshk,31.82089,64.57005
AF,Afghanistan,Asia,Southern Asia,HEL,Helmand,Lashkar Gāh,31.59382,64.37161
AF,Afghanistan,Asia,Southern Asia,HEL,Helmand,Markaz-e Ḩukūmat-e Darwēshān,31.13231,64.1934
AF,Afghanistan,Asia,Southern Asia,HEL,Helmand,Sangīn,32.07275,64.8359
AF,Afghanistan,Asia,Southern Asia,HER,Herat,Chahār Burj,34.24475,62.19165
AF,Afghanistan,Asia,Southern Asia,HER,Herat,Ghōriyān,34.3448,61.49321
AF,Afghanistan,Asia,Southern Asia,HER,Herat,Herāt,34.34817,62.19967
AF,Afghanistan,Asia,Southern Asia,HER,Herat,Kafir Qala,34.66667,61.06667
